run_id,timestamp_utc,train_dataset,model_type,seed,train_n,val_n,vocab_size,embed_dim,max_len,lstm_units,dropout,lr,batch_size,epochs,time_train_s,time_eval_s,time_total_s,tf,keras,gensim,numpy,pandas,sklearn,test_set,accuracy,auc,aod,test_n,oov_rate,pair_seed,order_in_pair,pair_order
c80d3fa5-ef8b-4f57-85db-7b376f466d67,2026-01-21T14:37:18Z,cassandra,ordinal,307833736,993,332,59,100,100,128,0.2,0.001,24,100,220.71491980552676,1.2643160820007324,232.7947962284088,1.15.0,2.3.1,3.8.3,1.21.6,1.3.5,0.24.2,test_internal,0.4939759036144578,0.7659784317329053,0.7095882892608643,332,0.0,307833736,0,ordinal > onehot
c80d3fa5-ef8b-4f57-85db-7b376f466d67,2026-01-21T14:37:18Z,cassandra,ordinal,307833736,993,332,59,100,100,128,0.2,0.001,24,100,220.71491980552676,1.2643160820007324,232.7947962284088,1.15.0,2.3.1,3.8.3,1.21.6,1.3.5,0.24.2,karaf,0.2904624277456647,0.6136148368480365,0.6206647157669067,692,0.0,307833736,0,ordinal > onehot
c80d3fa5-ef8b-4f57-85db-7b376f466d67,2026-01-21T14:37:18Z,cassandra,ordinal,307833736,993,332,59,100,100,128,0.2,0.001,24,100,220.71491980552676,1.2643160820007324,232.7947962284088,1.15.0,2.3.1,3.8.3,1.21.6,1.3.5,0.24.2,wicket,0.2600422832980972,0.6103398264073194,0.6090556383132935,473,3.0180023842218837e-05,307833736,0,ordinal > onehot
1a666bfc-ce7d-4c10-abdb-d0939b946d36,2026-01-21T14:40:57Z,cassandra,onehot,307833736,993,332,59,100,100,128,0.2,0.001,24,100,206.64541006088257,1.2696502208709717,219.02356481552124,1.15.0,2.3.1,3.8.3,1.21.6,1.3.5,0.24.2,test_internal,0.5331325301204819,0.7900479961259779,0.7120983600616455,332,0.0,307833736,1,ordinal > onehot
1a666bfc-ce7d-4c10-abdb-d0939b946d36,2026-01-21T14:40:57Z,cassandra,onehot,307833736,993,332,59,100,100,128,0.2,0.001,24,100,206.64541006088257,1.2696502208709717,219.02356481552124,1.15.0,2.3.1,3.8.3,1.21.6,1.3.5,0.24.2,karaf,0.2890173410404624,0.5907836813106556,0.5785163640975952,692,0.0,307833736,1,ordinal > onehot
1a666bfc-ce7d-4c10-abdb-d0939b946d36,2026-01-21T14:40:57Z,cassandra,onehot,307833736,993,332,59,100,100,128,0.2,0.001,24,100,206.64541006088257,1.2696502208709717,219.02356481552124,1.15.0,2.3.1,3.8.3,1.21.6,1.3.5,0.24.2,wicket,0.2177589852008456,0.6131334182375932,0.5653629302978516,473,3.0180023842218837e-05,307833736,1,ordinal > onehot
4d311888-4e8b-4158-b9f0-772fdca6cfad,2026-01-21T14:44:34Z,cassandra,onehot,548242837,993,332,59,100,100,128,0.2,0.001,24,100,204.03039741516116,1.301427125930786,216.50667810440063,1.15.0,2.3.1,3.8.3,1.21.6,1.3.5,0.24.2,test_internal,0.5301204819277109,0.7944990194047825,0.7025602459907532,332,0.0,548242837,0,onehot > ordinal
4d311888-4e8b-4158-b9f0-772fdca6cfad,2026-01-21T14:44:34Z,cassandra,onehot,548242837,993,332,59,100,100,128,0.2,0.001,24,100,204.03039741516116,1.301427125930786,216.50667810440063,1.15.0,2.3.1,3.8.3,1.21.6,1.3.5,0.24.2,karaf,0.2890173410404624,0.5689771471265408,0.6051300168037415,692,0.0,548242837,0,onehot > ordinal
4d311888-4e8b-4158-b9f0-772fdca6cfad,2026-01-21T14:44:34Z,cassandra,onehot,548242837,993,332,59,100,100,128,0.2,0.001,24,100,204.03039741516116,1.301427125930786,216.50667810440063,1.15.0,2.3.1,3.8.3,1.21.6,1.3.5,0.24.2,wicket,0.2071881606765327,0.5924851322804411,0.5755813717842102,473,3.0180023842218837e-05,548242837,0,onehot > ordinal
87edd28d-4ce3-4bb2-a1c2-1104b7c46c94,2026-01-21T14:48:36Z,cassandra,ordinal,548242837,993,332,59,100,100,128,0.2,0.001,24,100,229.98355412483212,1.4640703201293943,242.91090607643127,1.15.0,2.3.1,3.8.3,1.21.6,1.3.5,0.24.2,test_internal,0.4849397590361445,0.7773916914516131,0.7407128214836121,332,0.0,548242837,1,onehot > ordinal
87edd28d-4ce3-4bb2-a1c2-1104b7c46c94,2026-01-21T14:48:36Z,cassandra,ordinal,548242837,993,332,59,100,100,128,0.2,0.001,24,100,229.98355412483212,1.4640703201293943,242.91090607643127,1.15.0,2.3.1,3.8.3,1.21.6,1.3.5,0.24.2,karaf,0.338150289017341,0.6066761061114783,0.6629334688186646,692,0.0,548242837,1,onehot > ordinal
87edd28d-4ce3-4bb2-a1c2-1104b7c46c94,2026-01-21T14:48:36Z,cassandra,ordinal,548242837,993,332,59,100,100,128,0.2,0.001,24,100,229.98355412483212,1.4640703201293943,242.91090607643127,1.15.0,2.3.1,3.8.3,1.21.6,1.3.5,0.24.2,wicket,0.2494714587737843,0.5899891025776448,0.6236786246299744,473,3.0180023842218837e-05,548242837,1,onehot > ordinal
812839dc-2b1c-43ab-be7c-27f70a44594b,2026-01-21T14:52:49Z,cassandra,onehot,1537368600,993,332,59,100,100,128,0.2,0.001,24,100,239.16337704658508,1.5831317901611328,252.61655831336972,1.15.0,2.3.1,3.8.3,1.21.6,1.3.5,0.24.2,test_internal,0.5060240963855421,0.784372045404808,0.7359437346458435,332,0.0,1537368600,0,onehot > ordinal
812839dc-2b1c-43ab-be7c-27f70a44594b,2026-01-21T14:52:49Z,cassandra,onehot,1537368600,993,332,59,100,100,128,0.2,0.001,24,100,239.16337704658508,1.5831317901611328,252.61655831336972,1.15.0,2.3.1,3.8.3,1.21.6,1.3.5,0.24.2,karaf,0.3511560693641618,0.595832578867691,0.6404142379760742,692,0.0,1537368600,0,onehot > ordinal
812839dc-2b1c-43ab-be7c-27f70a44594b,2026-01-21T14:52:49Z,cassandra,onehot,1537368600,993,332,59,100,100,128,0.2,0.001,24,100,239.16337704658508,1.5831317901611328,252.61655831336972,1.15.0,2.3.1,3.8.3,1.21.6,1.3.5,0.24.2,wicket,0.2621564482029598,0.5859317516830549,0.5956658720970154,473,3.0180023842218837e-05,1537368600,0,onehot > ordinal
c71890c4-b567-40c7-90a9-abbd94306200,2026-01-21T15:08:00Z,cassandra,ordinal,1537368600,993,332,59,100,100,128,0.2,0.001,24,100,897.469827413559,3.7995588779449454,913.3707325458528,1.15.0,2.3.1,3.8.3,1.21.6,1.3.5,0.24.2,test_internal,0.4728915662650602,0.7630539261232989,0.7238955497741699,332,0.0,1537368600,1,onehot > ordinal
c71890c4-b567-40c7-90a9-abbd94306200,2026-01-21T15:08:00Z,cassandra,ordinal,1537368600,993,332,59,100,100,128,0.2,0.001,24,100,897.469827413559,3.7995588779449454,913.3707325458528,1.15.0,2.3.1,3.8.3,1.21.6,1.3.5,0.24.2,karaf,0.3106936416184971,0.6095587711428777,0.6241570115089417,692,0.0,1537368600,1,onehot > ordinal
c71890c4-b567-40c7-90a9-abbd94306200,2026-01-21T15:08:00Z,cassandra,ordinal,1537368600,993,332,59,100,100,128,0.2,0.001,24,100,897.469827413559,3.7995588779449454,913.3707325458528,1.15.0,2.3.1,3.8.3,1.21.6,1.3.5,0.24.2,wicket,0.2452431289640592,0.6149942017848653,0.6312543749809265,473,3.0180023842218837e-05,1537368600,1,onehot > ordinal
a7244585-0a61-45a3-a63d-622932c5c639,2026-01-21T15:15:07Z,cassandra,ordinal,1369745818,993,332,59,100,100,128,0.2,0.001,24,100,410.7428998947144,2.6593823432922363,425.7279906272888,1.15.0,2.3.1,3.8.3,1.21.6,1.3.5,0.24.2,test_internal,0.4849397590361445,0.7523094309632948,0.7281626462936401,332,0.0,1369745818,0,ordinal > onehot
a7244585-0a61-45a3-a63d-622932c5c639,2026-01-21T15:15:07Z,cassandra,ordinal,1369745818,993,332,59,100,100,128,0.2,0.001,24,100,410.7428998947144,2.6593823432922363,425.7279906272888,1.15.0,2.3.1,3.8.3,1.21.6,1.3.5,0.24.2,karaf,0.2890173410404624,0.6170352931930506,0.633188784122467,692,0.0,1369745818,0,ordinal > onehot
a7244585-0a61-45a3-a63d-622932c5c639,2026-01-21T15:15:07Z,cassandra,ordinal,1369745818,993,332,59,100,100,128,0.2,0.001,24,100,410.7428998947144,2.6593823432922363,425.7279906272888,1.15.0,2.3.1,3.8.3,1.21.6,1.3.5,0.24.2,wicket,0.2706131078224101,0.5726589817371993,0.6277308464050293,473,3.0180023842218837e-05,1369745818,0,ordinal > onehot
f8832bde-d642-410d-b903-bd7496e40e58,2026-01-21T15:27:15Z,cassandra,onehot,1369745818,993,332,59,100,100,128,0.2,0.001,24,100,712.6771235466003,3.7592408657073975,729.239501953125,1.15.0,2.3.1,3.8.3,1.21.6,1.3.5,0.24.2,test_internal,0.5060240963855421,0.764104898996246,0.6987951397895813,332,0.0,1369745818,1,ordinal > onehot
f8832bde-d642-410d-b903-bd7496e40e58,2026-01-21T15:27:15Z,cassandra,onehot,1369745818,993,332,59,100,100,128,0.2,0.001,24,100,712.6771235466003,3.7592408657073975,729.239501953125,1.15.0,2.3.1,3.8.3,1.21.6,1.3.5,0.24.2,karaf,0.2962427745664739,0.5936997144226057,0.6089836359024048,692,0.0,1369745818,1,ordinal > onehot
